LfdNr;Name;Typ;Beschreibung;Startzeit;Endzeit;Dauer;Fval_Opt;Fval_Text;Masse_fval;Masse_phys;Energie_fval;Energie_phys;Antriebskraft_fval;Antriebskraft_phys;Materialspannung_fval;Materialspannung_phys;Kondition_fval;Kondition_phys;Manip_fval;Manip_physval;MinSingVal_fval;MinSingVal_physval;Positionsfehler_fval;Positionsfehler_phys;Gelenkbereich_fval;Gelenkbereich_phys;Gelenkgrenze_fval;Gelenkgrenze_phys;AntrGeschw_fval;AntrGeschw_phys;KinLaenge_fval;KinLaenge_phys;Bauraum_fval;Bauraum_phys;Footprint_fval;Footprint_phys;CollDist_fval;CollDist_phys;Nachgiebigk_fval;Nachgiebigk_phys;Steifigk_phys;num_succ;num_fail;comptime_sum
1;P4PRRRR4G1P2A1;2;4PRRRR;31.01.2022 21:52:35;01.02.2022 05:54:45;28.855538;739.089902863584;i.O.;162.247610634223;26.0523075646177;813.004421901798;330.598581754184;999.884144300252;549493.694938059;999.434616047931;1014.39559968715;284.136716021244;14335.7308294463;806.714481571292+0i;31.91843971632+0i;805.539387835516;31.7131396811494;998.863636394153;84033.7229594301;0;43.0961399160125;176.708036630377;10.1246247049638;615.056024947646;2.89430365332565;993.162645434509;15517.5828152069;989.827062977856;6.25744151890733;988.25686772645;5.42059436124348;4.23228041187761;0.66481484670311;99.9977379142946;0.281430438548764;3.55327591839974;45;3256;28685.438616
2;P4PRRRR4G1P3A1;2;4PRRRR;31.01.2022 21:52:35;01.02.2022 05:54:45;23.266229;731.134709837632;i.O.;94.2360430315677;14.9116349838574;676.98485737381;179.876047315409;995.731938637553;14915.6767023751;974.944229085604;23.8527198837368;223.164223097675;1499.57501299873;962.841795617192+0i;171.132235535712+0i;978.12976750554;290.975101351306;987.634924777969;7721.82582691287;0;36.1079583940436;118.304510392765;6.77834914286701;513.680977565011;2.08786179568968;990.791184080707;11521.1223489827;979.448725604437;3.09663819505934;969.551931260696;2.08924343694327;3.6574261920374;0.574513483579727;99.9998692337311;4.86837911391105;0.205407174873167;113;2888;28737.306114
3;P4PRRRR4G1P8A1;2;4PRRRR;31.01.2022 21:52:35;01.02.2022 05:54:44;35.768544;684.01237058733;i.O.;152.158581425264;24.3667818271261;773.365920564788;268.934031627581;675.955297454514;179.193049901287;36.4928985164685;0.364928985164685;76.3746351895851;11.1446287952783;122.05885569167+0i;1.94114010982996+0i;138.133991002853;2.20450918325127;221.367451345688;54.367565351516;0;16.1850644652481;93.6007899323146;5.36293022221223;238.854808666371;0.787697274688213;992.253802033839;13696.7915751658;985.967615912656;4.53605505936395;979.819607400375;3.15358841636628;56.3499491610952;8.87461832482597;99.5951274964614;0.00157237447309462;635.980815709812;176;7325;28713.971058
4;P4PRRRR4G2P1A1;2;4PRRRR;31.01.2022 21:52:35;01.02.2022 05:54:46;28.177229;709.410922806512;i.O.;70.2407523642138;11.0783826063523;327.959525833756;56.6149713013969;974.426937873388;2488.07635338761;762.45021998727;3.27213735032924;149.696619732828;120.481476296459;59.9926741716474+0i;0.945162209832865+0i;113.030393539166;1.79437179090375;931.720682387213;1393.19680290733;0;23.9613280507827;146.971189958394;8.42082889463146;275.719846464401;0.924756146348624;992.390091893602;13942.1186433515;981.495434339859;3.43936995773922;985.838516247692;4.49468977648803;63.4510341324922;9.99999988440492;99.9982933734932;0.373028175570813;2.68076264874573;66;5835;28731.547232
5;P4PRRRR4G3P1A1;2;4PRRRR;31.01.2022 21:52:35;01.02.2022 05:54:47;43.292226;767.800686196331;i.O.;101.455284619977;16.0728593508835;357.12202137001;62.8295995805084;999.949498090832;1260585.5531372;999.785438946212;2671.37171113625;317.359088760988;53492.4903934113;14.167329450757+0i;0.222576634783618+0i;91.9593419595483;1.45462529063152;999.840184239912;597519.066933329;0;15.9234626119748;73.1669470275192;4.19215726453412;254.200929328329;0.843931689028244;993.997558093313;17676.1646135102;992.045413098116;8.00276178920611;989.446558503396;6.03179025177374;31.9031428867708;5.01553325022885;99.9999996594554;1869.41645564226;0.00053492628514198;17;3684;28151.677917
6;P4PRRRR4V1G1P2A1;2;4PRUR;31.01.2022 21:52:35;01.02.2022 05:54:47;34.017457;697.528175683554;i.O.;112.501757795287;17.858019120297;692.855425079968;190.93311759411;911.662871269382;716.039394922784;94.5111810611207;0.945111810611207;118.399522313618;43.0825802327774;71.5052094000405+0i;1.12794852479089+0i;158.614597949328;2.54438005223923;649.616563335909;244.447149164301;297.663870254316;53.5794966457769;1255.87935735162;71.9565867538497;370.534044948537;1.31615745039364;990.003243336094;10612.8995464907;981.266091620633;3.39724091203044;976.058159715904;2.6577723498319;216.523923147438;35.3866254260415;99.8057719414602;0.00327768192659835;305.093667535282;96;4805;28693.704009
7;P4PRRRR4V1G1P3A1;2;4PRUR;31.01.2022 21:52:35;01.02.2022 05:54:47;27.560637;693.641973584627;i.O.;142.209660666435;22.7173675751656;767.328228037735;261.320258157406;957.130797285179;1482.78294845463;616.168033326861;2.26244640113173;153.585134791821;137.120460505479;127.888574121786+0i;2.0363354828053+0i;227.862587643125;3.74036528728726;808.08983638854;482.427319938793;233.283513164002;41.9910323695203;2183.98477092662;125.133109894941;324.188127827114;1.11670569854606;993.350421814017;15955.8146016835;990.10172509196;6.43110519178109;981.876959494491;3.51181574467752;60.3205067842867;9.50358048670033;99.9227200604511;0.00823783589092624;121.391104804779;88;3013;28263.324644
8;P4PRRRR4V1G1P8A1;2;4PRUR;31.01.2022 21:52:35;01.02.2022 05:54:46;34.807192;683.272000396329;i.O.;80.5626467025066;12.7227387033359;609.727163685447;142.156064816172;440.155854046763;82.7684390665887;13.2875672868896;0.132875672868896;85.98525836191;15.1477747340341;189.264376874491+0i;3.06375743761553+0i;148.244486987752;2.37164188494444;230.572942236304;56.8346010227033;208.518114097754;37.5332605375957;1542.77999197719;88.3947822575202;291.019703343975;0.983765334240839;992.632915494251;14401.7024611667;978.39977767206;2.94615235288375;964.188038549987;1.77579806095794;63.4510342326285;9.99999990029159;99.6053330265529;0.00161303493704081;619.949374335653;263;3138;28398.196761
9;P4PRRRR4V1G2P1A1;2;4PRUR;31.01.2022 22:00:35;01.02.2022 05:55:15;29.115109;710.710075387843;i.O.;130.57610408153;20.803397336666;617.795925468713;146.055247828323;991.71959437939;7687.83439505423;945.123292733083;11.4088739805097;150.606877625218;124.181515177586;44.0528631005417+0i;0.693087362492792+0i;106.943460210645;1.69584597075351;937.565268054138;1524.57791798829;181.362121556776;32.6451818802196;1236.00921548593;70.8181114866198;276.782552832981;0.928811639744636;992.962481315467;15076.1906430659;985.299401321879;4.32980063333573;989.70374033443;6.1824806659699;44.363588434439;6.97991837127147;99.9820886814527;0.0355428749640384;28.1350341246109;84;4417;28043.177937
10;P4PRRRR4V1G3P1A1;2;4PRUR;31.01.2022 22:00:35;01.02.2022 05:55:16;56.259114;32790111.0404541;Selbstkoll. Traj.;75.7832230575252;11.9605500371013;345.600702218994;60.3335293278593;999.919055828826;786492.417805498;999.576178964488;1352.88592028488;367.948765956407;463004.412334739;167.756617285972+0i;2.69785049421753+0i;114.786581685555;1.82286031408178;999.927056724149;1309140.07251928;233.803331863831;42.0845997354896;1564.50203154403;89.639363447116;330.200828403595;1.14161619769654;991.073628631971;11885.7190148371;986.335041059226;4.6580600786745;989.450723029781;6.03417185114099;-207.14767831595;-33.7378540752715;99.3710814532394;0.00101221225731438;987.935082561847;0;5101;27963.879391
