LfdNr;Name;Typ;Beschreibung;Startzeit;Endzeit;Dauer;Fval_Opt;Fval_Text;Masse_fval;Masse_phys;Energie_fval;Energie_phys;Antriebskraft_fval;Antriebskraft_phys;Materialspannung_fval;Materialspannung_phys;Kondition_fval;Kondition_phys;Manip_fval;Manip_physval;MinSingVal_fval;MinSingVal_physval;Positionsfehler_fval;Positionsfehler_phys;Gelenkbereich_fval;Gelenkbereich_phys;Gelenkgrenze_fval;Gelenkgrenze_phys;AntrGeschw_fval;AntrGeschw_phys;KinLaenge_fval;KinLaenge_phys;Bauraum_fval;Bauraum_phys;Footprint_fval;Footprint_phys;CollDist_fval;CollDist_phys;Nachgiebigk_fval;Nachgiebigk_phys;Steifigk_phys;num_succ;num_fail;comptime_sum
;;;;;;;Zielfunktion der Optimierung;;(normiert);in kg;(normiert);in J;(normiert);in N bzw. Nm;(normiert);"Ausnutzung der Materialgrenzen; 1=max";(normiert);in Einheiten der Jacobi;(normiert);in Einh. von J;(normiert);in Einh. von J;(normiert);in µm;(normiert);in Grad;(normiert);in Grad;(normiert);in rad/s bzw. m/s;(normiert);in mm;(normiert);in m³;(normiert);in m²;(normiert);in mm;transl., normiert;in mm/N;in N/mm;;;Rechenzeit der Fitness-Auswertungen
1;P3RRRRR10G1P1A1;2;3RRRRR;22.06.2022 22:31:54;23.06.2022 04:32:04;28.709574;463.043599448982;i.O.;72.0414984339136;11.3648052190477;345.339852329499;60.2776537702755;393.898133691407;71.1999104735079;7.67675699145235;0.0767675699145235;54.6185048300086;5.58516191475953;883.212120956328;53.8978980961327;397.346006008552;7.20192237439732;345.023822544495;90.3149929839285;0;74.9809092671168;947.184855531662;54.2696946406728;529.791566327945;2.19652614333781;980.033885472682;5312.42593872696;923.191166221624;0.824811050472229;960.427933410841;1.60668796753419;386.320278018408;69.4211473964404;99.3136219047492;0.000927470018439171;1078.20196892498;1248;10753;21102.631539
2;P3RRRRR10G1P1A2;2;3RRRRR;22.06.2022 22:31:54;23.06.2022 04:32:05;42.315147;487.041828000799;i.O.;77.4919176267509;12.2328788356503;352.083332269153;61.7311241537928;450.075874726332;85.4286829224893;9.7891407890603;0.097891407890603;54.2470236353204;5.51988628752849;789.672444325741;29.1586450608004;241.218073282645;3.98142968506778;410.510868386302;112.811526533787;0;62.9375348355584;732.92245034455;41.9933631151294;477.889784420723;1.86568814817903;982.080171813091;5919.43570999914;933.557691649314;0.954672766482446;963.971520532862;1.76510354730257;98.6211342979177;15.6164947666438;99.5722717948439;0.00148835214828227;671.884003496159;1066;14535;21520.658559
3;P3RRRRR10G2P2A1;2;3RRRRR;22.06.2022 22:31:54;23.06.2022 04:32:05;33.548028;401.626065652986;i.O.;72.9341939922676;11.5068633613272;414.143717777039;76.104960501025;186.037743742884;30.0840159339018;1.80154144146681;0.0180154144146681;30.3290505382801;2.59487080305288;819.806374387176;34.3811913617992;349.763768480207;6.12290485960154;175.594276171082;42.4555756144231;0;75.7020974816245;1022.34805473282;58.5762287296004;528.774304474583;2.18948792385069;980.017279500275;5308.00832713166;945.906259223806;1.17404880074133;959.271331393528;1.56094220257728;54.7515643768463;8.62162304285188;96.906609203587;0.000205637987630129;4862.91473440526;1051;38950;21306.648586
4;P3RRRRR10G2P2A2;2;3RRRRR;22.06.2022 22:31:54;23.06.2022 04:32:05;64.445775;386.058505813055;i.O.;76.6851371617329;12.1042735132624;500.539796453503;100.169726010381;129.711548677386;20.6617558749363;1.44791231733095;0.0144791231733095;53.6390249562834;5.41470617664029;773.072427485105;26.8554966265842;385.910599660539;6.93258246493449;195.57675698759;47.5883010483749;0;74.9377502542733;930.970634149853;53.3406881874044;594.100193252218;2.69979042662759;981.836421265895;5839.95614620593;951.778831600046;1.31768228182333;949.200460575244;1.25053890291253;49.9488757064167;7.86209040714335;98.8247985965074;0.000541649673573412;1846.21176525913;401;25600;21424.308096
5;P3RRRRR10G3P3A1;2;3RRRRR;22.06.2022 22:31:54;23.06.2022 04:32:05;25.541237;367.472655641667;i.O.;67.100915430464;10.5793936454136;444.401964544487;83.8985928389206;122.165272915444;19.4287475019729;2.01198933288872;0.0201198933288872;54.7847846401521;5.61463182600628;788.239315831705;28.9461291289344;380.532017500221;6.80821652163432;221.874091929732;54.5026609731246;0;69.9784099620165;1008.06633642507;57.7579465463717;600.477278934616;2.75710827513644;977.571376022851;4728.75166445474;913.151778579093;0.728472673530785;921.631647139386;0.808235419366639;374.433367559862;66.6891958201341;98.9703946692552;0.000618260459963287;1617.44129660076;1318;35483;21203.412
6;P3RRRRR10G3P3A2;2;3RRRRR;22.06.2022 22:31:54;23.06.2022 04:32:05;32.073455;415.560805876309;i.O.;72.0906338051518;11.3726231406091;455.026645791088;86.7829171590177;264.630693609408;44.1402067297757;3.97243190342919;0.0397243190342919;86.3234675396976;15.3125964758814;632.908889128439;15.3761964828545;538.0894063362;11.2743821717653;403.070633304198;110.0906862694;0;66.3419119889348;1200.63460316502;68.7912954987198;629.634986419188;3.04090800178699;979.457835131316;5163.35394869358;909.961090214361;0.702328897983173;943.083970737089;1.11554286585953;63.4510343606467;9.99999992060173;99.739161509223;0.00244065286558362;409.726435947242;1164;29237;21347.374207
7;P3RRRRR10V1G1P1A1;2;3RUU;22.06.2022 22:31:54;23.06.2022 04:31:59;33.677802;393.495008177463;i.O.;66.1421156590287;10.4271242185167;286.653241410853;48.3392871769055;194.833855612778;31.5971414024095;2.61582293497752;0.0261582293497752;59.4985798258287;6.51863153615536;647.352658675792;16.1672217396083;368.881335833783;6.54364718952165;235.862147637724;58.2642883540878;494.780177551457;89.0604319592623;2591.5162157885;148.482941704395;492.75654033705;1.95499809040998;977.209556654701;4653.61569926429;919.509053260583;0.786701970168559;963.828411829619;1.75810515627676;556.894137253578;119.685535278769;98.7744956393836;0.000519411561171292;1925.25556755988;1798;9403;21150.025109
8;P3RRRRR10V1G2P2A1;2;3RUU;22.06.2022 22:31:54;23.06.2022 04:32:05;78.501978;382.58283343679;i.O.;67.0257706522983;10.5674579688717;436.107701151947;81.7025337967882;170.670197285572;27.4700900248481;1.70161325452951;0.0170161325452951;51.6436269693535;5.08350358996884;383.133893065767;6.86819798410353;259.429280168306;4.31674691941098;377.473450042559;101.071982339917;355.417136417505;63.9750845551509;2028.80522112945;116.241976624823;488.323727002762;1.92794922044517;977.567162485837;4727.86273239396;910.052532372595;0.7030525040099;929.312506465934;0.896907374084103;63.043290809682;9.93531536541166;98.0917229801744;0.000333509802156608;2998.41262095926;626;7775;21211.053861
9;P3RRRRR10V1G3P3A1;2;3RUU;22.06.2022 22:33:40;23.06.2022 04:32:03;30.3693;345.85921794888;i.O.;66.0437287308722;10.4115018577823;451.523775588835;85.8228691848214;109.26057998791;17.3331324054753;3.32521028436721;0.0332521028436721;77.5536207717371;11.5714777975298;931.995649598365;93.2582245197367;700.934766685943;19.6975519277616;219.208192245653;53.7926700363896;400.183616624359;72.0330509923846;2187.58841929329;125.3395837372;645.454961259927;3.21200294778659;977.016753521461;4614.54367456349;862.27334512786;0.455000299057133;901.02490965559;0.638021421825338;34.7744162784907;5.46779175493234;99.7284869958631;0.00234469768566874;426.494215485518;1608;42393;21098.914056
10;P3RRRRR10V2G1P1A1;2;3RRRU;22.06.2022 22:33:40;23.06.2022 04:32:02;29.341612;365.596136892029;i.O.;67.2818339700583;10.6081311992462;285.490561740803;48.1141766878658;112.817036843333;17.9091269230314;1.97020508949244;0.0197020508949244;82.0494913828239;13.3568402839836;864.746379796818;46.3582673534114;579.045382833282;12.8520821229279;246.656280413985;61.2110113797781;551.432008736596;99.2577615725873;1925.38024127855;110.316161783141;599.863881924555;2.75152646827287;977.802137890867;4777.95074440822;916.689539862696;0.759786356610063;962.421011961408;1.69211630711664;48.0895368037812;7.56828744270642;99.9029377467217;0.00655887595413169;152.465149058058;1158;6443;20996.194254
11;P3RRRRR10V2G1P1A2;2;3RRRU;22.06.2022 22:33:40;23.06.2022 04:32:03;27.424314;389.45969153007;i.O.;71.4894807765982;11.2769831752478;280.31513617283;47.1169048358721;183.784300964724;29.6984189942306;2.11118627019361;0.0211118627019361;36.5509833769969;3.15676068444951;944.93026682702;115.313991532983;456.120441411812;8.7084577359625;194.451731400007;47.2967059746718;544.922021888834;98.0859639399902;1700.05005747366;97.4056932542137;647.80853251682;3.23862590969603;979.814953060174;5254.76793879617;913.105292848888;0.728078086494743;957.264378946569;1.48743180375219;209.499653219135;34.1498689328372;97.7606925290853;0.000284175889409804;3518.94737472933;1461;10540;21144.094563
12;P3RRRRR10V2G2P2A1;2;3RRRU;22.06.2022 22:33:40;23.06.2022 04:32:05;96.255076;391.604926751569;i.O.;74.1473413453691;11.699989858477;487.754329944767;96.2250564516479;187.923678670277;30.4073583332525;2.08609317743543;0.0208609317743543;67.1930122629634;8.32118326550982;454.927106759591;8.67555097575744;345.621197017093;6.03379206026848;355.189827159107;93.6106258986054;226.55759532004;40.7803671576072;1954.75686108338;111.999318114318;559.003265290153;2.40989247817432;980.423335322247;5418.17774001581;912.74376023906;0.72502353291851;928.912299036393;0.89181613069758;13.1853703255901;2.07144933079037;99.2329800798435;0.000829951023435681;1204.89037516983;470;7931;21345.01337
13;P3RRRRR10V2G2P2A2;2;3RRRU;22.06.2022 22:33:40;23.06.2022 04:31:34;74.349041;388.339469890351;i.O.;69.8304824645309;11.0131512716953;466.07956795712;89.8735553803508;226.242412491374;37.1138267088613;2.08297245092521;0.0208297245092521;29.8017306906707;2.55214321436504;318.139677653064;5.45955384091107;189.144271096334;3.06169385033032;250.588420970663;62.294527489205;195.840502449618;35.2512904409313;2254.57844126315;129.177829265562;457.618192292389;1.74998225874528;978.768531871821;4995.60154185131;890.233724540881;0.574218793818393;910.400514119113;0.705819590565893;27.6076157321627;4.33931465822707;96.6269520526396;0.000188560598235097;5303.33489265453;840;16361;21278.479745
14;P3RRRRR10V2G3P3A1;2;3RRRU;22.06.2022 22:33:40;23.06.2022 04:32:03;27.17075;361.774593422691;i.O.;67.8837836641747;10.7037588961632;399.781825917835;72.6019048551791;116.654492036135;18.5319264221224;2.09515386669098;0.0209515386669098;50.314806701537;4.87434495253766;715.37698189968;20.856594448067;311.430595842408;5.32353328166616;234.135754970913;57.7966357202991;327.907508093113;59.0233514567604;948.998397286695;54.373602929207;555.115541373889;2.38016428016428;977.80658058162;4778.90797278235;900.785504567763;0.636456751482628;941.774269088691;1.09031462280347;11.878342288272;1.86606219756073;99.2270269581745;0.000823558459676112;1214.24288494745;1278;27123;21337.263753
15;P3RRRRR10V2G3P3A2;2;3RRRU;22.06.2022 22:33:40;23.06.2022 04:32:03;27.245552;375.531718340803;i.O.;69.5000342370327;10.9606180102723;452.287289753082;86.0313534801182;147.220064655318;23.5465166477672;4.28825299248051;0.0428825299248051;100.232128029781;23.9307607746957;718.596139808416;21.1300093984991;610.348121541327;14.2451125744216;504.922510328089;152.337801424607;200.049150269962;36.0088470485931;2198.16471245918;125.945560698499;688.42903130925;3.75490709478378;978.917747049901;5030.98536178316;909.875056130059;0.701649419204931;939.55807300933;1.05010847364;59.0220633591086;9.29781895079981;99.950838234476;0.0129494870461767;77.2231360542771;1128;25673;21099.0273539999
16;P3RRRRR5G1P2A1;2;3RRRRR;22.06.2022 22:33:40;23.06.2022 04:31:29;34.83454;405.441946912281;i.O.;88.3903208192263;13.9742304993836;303.338544044325;51.6148853037938;165.780886929306;26.6458471122907;4.00194976736992;0.0400194976736992;71.8904351227824;9.66154992776769;728.517489156059;22.0107360590262;493.86964839197;9.80924035441057;242.668174778923;60.117638502789;0;58.8990489700536;870.504402522465;49.8762283120946;600.504498206221;2.75735630934982;984.33707206104;6772.80046855512;962.154632988311;1.68017834168274;975.303429259004;2.57647263384607;76.7281538932348;12.1111296216289;99.520684450635;0.00132816000613666;752.921331300128;1021;10180;20424.796339
